pair_id,user_a_id,user_b_id,pair_date,match_success,response_time_hours,conversation_duration_min,messages_exchanged,pair_rating
PAIR_000001,HT_010391,HT_018654,2026-04-06,0,,,0,
PAIR_000002,HT_016864,HT_010900,2025-12-28,1,0.94,9.06,7,5.0
PAIR_000003,HT_012638,HT_010810,2026-02-08,1,0.4,31.7,7,4.0
PAIR_000004,HT_011847,HT_013733,2026-02-15,0,,,0,
PAIR_000005,HT_016608,HT_013848,2025-04-20,0,,,0,
PAIR_000006,HT_012150,HT_019207,2025-09-10,0,,,0,
PAIR_000007,HT_011027,HT_016062,2025-05-06,0,,,0,
PAIR_000008,HT_012091,HT_010014,2026-01-07,0,,,0,
PAIR_000009,HT_015357,HT_018785,2025-12-20,0,,,0,
PAIR_000010,HT_016330,HT_015517,2025-12-19,1,1.22,14.68,4,4.0
PAIR_000011,HT_019485,HT_013742,2025-10-01,0,,,0,
PAIR_000012,HT_012923,HT_015030,2026-02-17,0,,,0,
PAIR_000013,HT_011196,HT_010928,2026-02-24,1,5.95,38.45,7,4.0
PAIR_000014,HT_017295,HT_010923,2026-02-06,1,4.8,44.55,10,
PAIR_000015,HT_015609,HT_013921,2025-12-24,1,0.09,8.03,8,4.0
PAIR_000016,HT_014603,HT_012487,2025-05-25,0,,,0,
PAIR_000017,HT_011649,HT_012078,2026-03-22,0,,,0,
PAIR_000018,HT_013630,HT_015848,2025-07-07,0,,,0,
PAIR_000019,HT_016925,HT_017820,2025-12-02,0,,,0,
PAIR_000020,HT_010577,HT_016277,2025-09-30,0,,,0,
PAIR_000021,HT_012767,HT_018604,2026-01-28,0,,,0,
PAIR_000022,HT_012514,HT_012350,2025-12-28,0,,,0,
PAIR_000023,HT_017512,HT_010417,2026-03-06,0,,,0,
PAIR_000024,HT_017912,HT_010209,2026-03-14,1,8.67,14.05,9,3.0
PAIR_000025,HT_012627,HT_014598,2025-10-05,0,,,0,
PAIR_000026,HT_015182,HT_015157,2025-04-26,0,,,0,
PAIR_000027,HT_015689,HT_013735,2025-07-09,1,0.13,38.81,12,4.0
PAIR_000028,HT_010725,HT_016629,2026-02-25,0,,,0,
PAIR_000029,HT_016366,HT_010156,2025-05-05,0,,,0,
PAIR_000030,HT_013625,HT_017495,2025-06-08,0,,,0,
PAIR_000031,HT_018582,HT_014160,2025-12-06,0,,,0,
PAIR_000032,HT_019565,HT_014577,2025-11-24,0,,,0,
PAIR_000033,HT_011918,HT_019473,2026-03-28,0,,,0,
PAIR_000034,HT_013669,HT_013255,2025-11-07,0,,,0,
PAIR_000035,HT_011184,HT_012057,2025-09-08,1,0.05,6.36,7,3.0
PAIR_000036,HT_017316,HT_011039,2025-07-09,0,,,0,
PAIR_000037,HT_010046,HT_017822,2025-10-01,0,,,0,
PAIR_000038,HT_016229,HT_016139,2025-07-15,1,5.31,51.11,10,
PAIR_000039,HT_017890,HT_016124,2026-01-22,1,1.11,31.18,7,5.0
PAIR_000040,HT_018126,HT_010596,2026-03-13,1,2.43,30.4,7,3.0
PAIR_000041,HT_011403,HT_018937,2025-07-28,1,1.4,21.46,11,4.0
PAIR_000042,HT_018539,HT_012703,2026-02-26,0,,,0,
PAIR_000043,HT_016268,HT_018934,2025-09-10,0,,,0,
PAIR_000044,HT_015577,HT_018466,2025-10-07,0,,,0,
PAIR_000045,HT_010480,HT_012578,2026-03-10,0,,,0,
PAIR_000046,HT_014764,HT_014061,2025-05-11,0,,,0,
PAIR_000047,HT_015848,HT_014113,2025-11-21,1,3.61,31.31,4,4.0
PAIR_000048,HT_019222,HT_011726,2026-03-27,0,,,0,
PAIR_000049,HT_019558,HT_010224,2025-12-09,1,1.44,39.79,8,5.0
PAIR_000050,HT_018178,HT_012878,2025-06-13,0,,,0,
PAIR_000051,HT_015194,HT_013793,2026-03-01,1,2.16,8.01,9,5.0
PAIR_000052,HT_016874,HT_018264,2025-08-11,0,,,0,
PAIR_000053,HT_013837,HT_017895,2025-12-10,0,,,0,
PAIR_000054,HT_016066,HT_014877,2025-06-19,0,,,0,
PAIR_000055,HT_016457,HT_010226,2025-08-26,0,,,0,
PAIR_000056,HT_013906,HT_012045,2025-12-20,1,4.55,30.17,4,4.0
PAIR_000057,HT_018863,HT_014155,2025-07-07,0,,,0,
PAIR_000058,HT_011916,HT_015123,2025-10-18,0,,,0,
PAIR_000059,HT_018445,HT_012564,2025-06-30,0,,,0,
PAIR_000060,HT_014543,HT_014296,2025-07-13,0,,,0,
PAIR_000061,HT_010216,HT_018652,2026-01-17,1,0.21,32.33,3,
PAIR_000062,HT_016099,HT_014269,2025-12-09,1,2.11,42.09,9,3.0
PAIR_000063,HT_011723,HT_019559,2025-05-20,0,,,0,
PAIR_000064,HT_014265,HT_013424,2025-11-07,1,7.22,10.7,9,5.0
PAIR_000065,HT_016902,HT_014140,2025-09-15,0,,,0,
PAIR_000066,HT_011121,HT_017081,2025-10-10,1,2.07,22.67,11,
PAIR_000067,HT_012295,HT_010241,2025-08-16,1,1.91,42.25,13,
PAIR_000068,HT_012897,HT_018885,2026-04-09,0,,,0,
PAIR_000069,HT_013450,HT_015868,2026-03-08,1,3.2,60.64,5,
PAIR_000070,HT_013940,HT_016539,2025-12-03,0,,,0,
PAIR_000071,HT_018943,HT_010722,2025-04-25,0,,,0,
PAIR_000072,HT_015583,HT_010112,2026-01-14,1,1.25,49.43,3,
PAIR_000073,HT_018953,HT_015581,2026-02-09,0,,,0,
PAIR_000074,HT_015375,HT_019367,2025-06-25,0,,,0,
PAIR_000075,HT_015738,HT_019626,2025-07-26,1,3.46,11.39,5,
PAIR_000076,HT_019765,HT_015317,2025-12-24,0,,,0,
PAIR_000077,HT_016083,HT_019379,2025-08-20,1,1.56,19.06,8,5.0
PAIR_000078,HT_018273,HT_017310,2025-05-20,0,,,0,
PAIR_000079,HT_012696,HT_019109,2025-05-26,1,6.57,36.11,9,
PAIR_000080,HT_012412,HT_013098,2026-02-28,0,,,0,
PAIR_000081,HT_011894,HT_016166,2025-08-26,1,1.89,45.79,4,3.0
PAIR_000082,HT_015889,HT_014397,2025-12-08,0,,,0,
PAIR_000083,HT_011101,HT_018356,2025-05-13,0,,,0,
PAIR_000084,HT_019452,HT_011248,2026-01-22,1,0.09,20.68,7,3.0
PAIR_000085,HT_013773,HT_011015,2025-12-20,0,,,0,
PAIR_000086,HT_010931,HT_012825,2025-05-16,0,,,0,
PAIR_000087,HT_012744,HT_013007,2026-01-17,0,,,0,
PAIR_000088,HT_013785,HT_012228,2025-11-18,1,0.94,81.6,6,
PAIR_000089,HT_014987,HT_011408,2025-04-15,0,,,0,
PAIR_000090,HT_017829,HT_012960,2025-05-21,1,1.76,27.26,9,
PAIR_000091,HT_012563,HT_010556,2026-01-29,0,,,0,
PAIR_000092,HT_012738,HT_011226,2026-04-03,1,0.04,40.14,4,5.0
PAIR_000093,HT_016942,HT_019031,2026-03-16,0,,,0,
PAIR_000094,HT_017860,HT_019813,2026-02-24,1,3.37,14.78,14,
PAIR_000095,HT_018631,HT_015584,2025-05-18,1,1.12,18.73,8,
PAIR_000096,HT_010537,HT_011776,2025-08-12,1,4.72,20.11,11,
PAIR_000097,HT_019481,HT_015828,2025-10-30,0,,,0,
PAIR_000098,HT_017000,HT_016821,2025-08-23,0,,,0,
PAIR_000099,HT_016590,HT_019302,2025-11-13,1,0.12,14.91,7,
PAIR_000100,HT_014313,HT_015270,2025-09-02,0,,,0,
PAIR_000101,HT_019467,HT_017503,2025-05-16,0,,,0,
PAIR_000102,HT_015255,HT_018459,2025-08-23,0,,,0,
PAIR_000103,HT_015209,HT_019295,2026-03-22,1,0.18,17.51,10,
PAIR_000104,HT_014589,HT_010397,2025-11-25,0,,,0,
PAIR_000105,HT_017785,HT_019689,2025-05-24,0,,,0,
PAIR_000106,HT_016826,HT_018521,2026-01-31,1,0.17,29.16,5,5.0
PAIR_000107,HT_013737,HT_014596,2025-05-12,0,,,0,
PAIR_000108,HT_010240,HT_010928,2026-01-04,0,,,0,
PAIR_000109,HT_015070,HT_019253,2025-12-08,1,1.26,31.78,7,
PAIR_000110,HT_011269,HT_018451,2025-09-01,0,,,0,
PAIR_000111,HT_010687,HT_018592,2026-03-15,1,7.01,12.16,13,5.0
PAIR_000112,HT_010351,HT_013751,2025-09-15,1,0.66,95.9,9,
PAIR_000113,HT_017505,HT_018104,2025-08-24,0,,,0,
PAIR_000114,HT_019795,HT_015963,2026-02-17,0,,,0,
PAIR_000115,HT_011206,HT_014938,2025-07-27,0,,,0,
PAIR_000116,HT_019635,HT_012482,2025-08-30,0,,,0,
PAIR_000117,HT_011202,HT_014005,2025-06-23,1,3.36,12.39,10,
PAIR_000118,HT_017410,HT_012433,2026-02-19,0,,,0,
PAIR_000119,HT_013549,HT_010896,2025-09-09,0,,,0,
PAIR_000120,HT_011618,HT_013376,2025-10-22,1,0.94,31.17,15,5.0
PAIR_000121,HT_019942,HT_010015,2025-07-30,1,1.2,9.2,10,
PAIR_000122,HT_019348,HT_015744,2026-01-28,0,,,0,
PAIR_000123,HT_017855,HT_013347,2026-03-12,0,,,0,
PAIR_000124,HT_010301,HT_018261,2025-05-13,0,,,0,
PAIR_000125,HT_016291,HT_017791,2025-12-14,1,3.82,89.91,6,5.0
PAIR_000126,HT_013453,HT_011534,2025-05-08,0,,,0,
PAIR_000127,HT_014015,HT_013016,2025-08-12,0,,,0,
PAIR_000128,HT_019060,HT_013705,2025-08-26,0,,,0,
PAIR_000129,HT_019004,HT_017116,2025-06-02,1,0.29,76.73,12,5.0
PAIR_000130,HT_014308,HT_011739,2025-05-02,0,,,0,
PAIR_000131,HT_014587,HT_014534,2026-01-23,0,,,0,
PAIR_000132,HT_019952,HT_018960,2026-01-01,1,5.22,4.39,6,3.0
