user_id,activity_date,activity_type,session_duration_min,device_type
HT_010000,2026-03-22,login,34.2,iOS
HT_010000,2025-10-01,comment,14.36,Android
HT_010000,2026-03-08,send_message,3.95,iOS
HT_010000,2026-02-03,like,14.72,iOS
HT_010000,2025-09-18,voice_call,3.42,Web
HT_010000,2025-12-19,login,0.5,iOS
HT_010000,2025-10-24,send_message,4.79,Web
HT_010000,2026-03-27,comment,7.52,iOS
HT_010000,2026-01-15,comment,36.7,Web
HT_010000,2025-11-15,send_message,13.41,Android
HT_010000,2025-11-01,send_message,9.26,iOS
HT_010000,2026-01-11,comment,7.66,iOS
HT_010000,2026-03-02,voice_call,3.86,iOS
HT_010000,2026-01-07,post_moment,3.92,iOS
HT_010000,2025-12-01,video_call,11.85,iOS
HT_010000,2026-03-13,login,6.37,Android
HT_010000,2026-01-31,post_moment,6.45,iOS
HT_010000,2026-04-08,login,12.23,Android
HT_010000,2025-10-20,send_message,6.96,iOS
HT_010000,2025-12-24,comment,1.13,iOS
HT_010000,2025-12-09,voice_call,30.07,Android
HT_010000,2026-02-13,share_content,26.39,Web
HT_010000,2026-03-31,login,8.27,Android
HT_010000,2025-12-20,like,4.11,Android
HT_010000,2026-01-16,video_call,5.71,Android
HT_010000,2025-09-26,send_message,3.12,iOS
HT_010000,2025-12-28,login,3.7,Android
HT_010000,2025-10-18,voice_call,5.71,Android
HT_010000,2025-10-16,video_call,24.24,Android
HT_010000,2025-12-15,login,20.05,iOS
HT_010000,2025-09-19,send_message,7.23,Android
HT_010000,2026-01-14,voice_call,7.11,iOS
HT_010000,2026-03-19,login,3.28,Android
HT_010000,2026-01-28,voice_call,13.18,iOS
HT_010000,2025-10-17,send_message,0.77,Android
HT_010000,2025-10-12,post_moment,7.03,Android
HT_010000,2025-12-27,post_moment,8.81,iOS
HT_010000,2026-01-12,video_call,2.75,Android
HT_010000,2026-03-15,login,15.51,Android
HT_010000,2026-02-09,share_content,38.9,iOS
HT_010000,2026-01-06,login,6.71,Android
HT_010000,2026-03-10,send_message,14.23,Android
HT_010000,2025-09-18,post_moment,13.18,Android
HT_010001,2026-03-01,send_message,9.73,iOS
HT_010001,2026-02-22,send_message,12.62,Android
HT_010001,2026-02-13,login,41.32,Android
HT_010001,2026-03-11,complete_lesson,5.86,Android
HT_010001,2026-02-22,comment,7.15,Android
HT_010001,2026-02-26,send_message,9.38,Android
HT_010001,2026-02-22,login,2.29,Android
HT_010001,2026-03-04,login,18.73,Android
HT_010001,2026-02-17,send_message,14.71,Android
HT_010001,2026-03-10,like,2.88,Android
HT_010001,2026-04-01,login,20.97,Web
HT_010001,2026-04-02,login,19.05,Web
HT_010001,2026-02-19,comment,13.01,Android
HT_010001,2026-04-03,like,11.78,Android
HT_010001,2026-04-04,login,10.56,iOS
HT_010001,2026-03-14,login,8.16,Android
HT_010001,2026-02-26,send_message,15.08,iOS
HT_010001,2026-03-22,send_message,26.0,Android
HT_010001,2026-02-25,login,6.46,Android
HT_010001,2026-03-17,login,3.66,iOS
HT_010001,2026-02-28,send_message,0.5,Android
HT_010001,2026-03-22,like,2.45,Android
HT_010001,2026-03-27,comment,3.04,Android
HT_010001,2026-04-06,start_lesson,16.07,iOS
HT_010001,2026-03-13,send_message,4.24,Android
HT_010001,2026-03-06,login,37.22,iOS
HT_010002,2026-01-17,login,6.52,Android
HT_010002,2026-04-08,like,7.1,Android
HT_010002,2025-10-13,start_lesson,3.53,Android
HT_010002,2025-11-02,like,14.03,Android
HT_010002,2026-01-10,post_moment,4.74,Android
HT_010002,2025-12-11,login,5.85,iOS
HT_010002,2025-12-10,login,18.9,Android
HT_010002,2025-09-21,comment,4.74,iOS
HT_010002,2025-08-24,login,8.66,Web
HT_010002,2026-04-10,post_moment,23.91,Android
HT_010002,2026-03-29,send_message,5.32,iOS
HT_010002,2026-02-27,login,1.01,Web
HT_010002,2026-03-06,video_call,0.5,Web
HT_010002,2025-09-06,video_call,3.72,Android
HT_010002,2025-10-14,comment,16.07,iOS
HT_010002,2026-02-24,send_message,17.26,iOS
HT_010002,2025-11-16,video_call,1.86,iOS
HT_010002,2026-02-09,comment,13.09,iOS
HT_010002,2025-09-22,login,1.53,Android
HT_010002,2025-10-17,voice_call,4.02,iOS
HT_010002,2026-01-19,send_message,2.88,iOS
HT_010002,2025-12-01,login,8.64,iOS
HT_010002,2026-03-19,post_moment,5.13,iOS
HT_010002,2026-01-23,video_call,12.01,iOS
HT_010002,2025-08-24,complete_lesson,12.24,iOS
HT_010002,2025-08-23,send_message,1.47,Android
HT_010002,2026-03-13,send_message,13.35,iOS
HT_010002,2026-02-16,voice_call,11.39,iOS
HT_010002,2025-11-18,start_lesson,4.21,Android
HT_010002,2025-10-16,login,23.72,Android
HT_010002,2025-11-12,send_message,1.43,Web
HT_010002,2025-09-12,voice_call,0.5,Android
HT_010002,2026-02-25,like,3.14,Android
HT_010002,2025-11-20,login,13.9,Android
HT_010002,2025-11-30,post_moment,8.29,iOS
HT_010002,2026-01-08,send_message,2.92,iOS
HT_010002,2025-10-31,login,3.88,iOS
HT_010002,2026-03-16,login,0.5,Android
HT_010002,2025-12-09,send_message,0.8,Android
HT_010002,2025-10-20,voice_call,5.19,Android
HT_010002,2025-11-10,post_moment,28.49,Web
HT_010002,2025-11-10,login,13.4,iOS
HT_010003,2026-04-11,video_call,31.17,Android
HT_010003,2025-11-27,start_lesson,4.16,iOS
HT_010003,2026-03-05,login,0.98,iOS
HT_010003,2026-03-02,login,12.51,iOS
HT_010003,2026-03-18,login,17.72,Android
HT_010003,2026-03-10,send_message,5.98,Android
HT_010003,2025-11-27,login,48.12,Android
HT_010003,2026-03-23,video_call,6.18,Android
HT_010003,2026-02-10,post_moment,13.08,Android
HT_010003,2026-04-12,login,0.51,Android
HT_010003,2026-04-01,login,9.83,Android
HT_010003,2026-03-08,like,0.78,iOS
HT_010003,2026-01-02,login,7.86,Android
HT_010003,2025-11-28,login,0.85,Android
HT_010003,2026-03-20,login,4.72,Android
HT_010003,2025-12-16,share_content,8.11,Android
HT_010003,2025-11-29,post_moment,10.25,Android
HT_010003,2026-04-01,comment,10.1,Android
HT_010003,2026-01-07,login,1.6,Android
HT_010003,2025-12-16,login,15.98,iOS
HT_010003,2025-12-22,login,1.4,iOS
HT_010003,2026-04-08,comment,10.72,Android
HT_010003,2026-02-16,like,5.28,Android
HT_010003,2025-12-08,video_call,7.42,Web
HT_010003,2026-01-12,send_message,4.88,iOS
HT_010003,2026-02-16,login,2.06,iOS
HT_010003,2025-12-25,voice_call,18.16,iOS
HT_010003,2026-01-23,login,13.16,iOS
HT_010003,2026-02-22,send_message,9.27,Web
HT_010003,2026-04-08,like,37.47,iOS
HT_010003,2026-02-09,login,3.02,Android
HT_010003,2026-04-01,like,2.58,iOS
HT_010003,2026-03-01,post_moment,7.53,iOS
HT_010003,2026-03-21,comment,24.29,Web
HT_010004,2025-12-19,login,20.64,iOS
HT_010004,2025-06-27,send_message,3.85,Android
HT_010004,2025-11-04,start_lesson,9.06,Android
HT_010004,2025-12-22,login,14.31,Android
HT_010004,2026-03-17,voice_call,12.54,Android
HT_010004,2026-02-15,share_content,3.2,Android
HT_010004,2025-07-22,login,4.37,iOS
HT_010004,2025-10-03,like,3.18,Android
HT_010004,2026-03-18,login,1.75,Android
HT_010004,2025-07-28,post_moment,0.75,Android
HT_010004,2025-05-01,login,20.79,Android
HT_010004,2025-10-24,like,15.84,iOS
HT_010004,2025-06-19,send_message,5.31,iOS
HT_010004,2025-12-12,login,15.51,iOS
HT_010004,2026-04-04,comment,4.59,Android
HT_010004,2025-08-19,post_moment,0.5,iOS
HT_010004,2025-11-19,login,2.66,Android
HT_010004,2025-07-13,video_call,15.74,iOS
HT_010004,2026-03-11,post_moment,14.79,Android
HT_010004,2025-10-01,share_content,1.52,Android
HT_010004,2025-10-08,login,8.79,Android
HT_010004,2026-03-21,share_content,4.02,iOS
HT_010004,2025-09-10,like,3.65,iOS
HT_010004,2026-02-07,send_message,21.85,Android
HT_010004,2025-08-30,like,3.91,iOS
HT_010004,2026-01-16,login,10.5,iOS
HT_010004,2025-10-13,send_message,0.95,iOS
HT_010004,2026-03-23,login,7.37,Android
HT_010004,2025-10-30,send_message,30.34,iOS
HT_010004,2025-08-06,send_message,22.04,Android
HT_010004,2025-05-03,send_message,14.02,Android
HT_010004,2025-11-04,video_call,4.25,iOS
HT_010004,2025-06-10,like,12.81,Android
HT_010004,2025-08-02,login,43.5,iOS
HT_010004,2026-01-25,login,34.56,iOS
HT_010004,2025-11-21,login,6.16,Android
HT_010004,2025-12-06,login,3.68,Android
HT_010004,2026-03-05,like,0.88,Android
HT_010004,2025-12-18,send_message,11.58,iOS
HT_010004,2025-12-18,send_message,4.54,Android
HT_010004,2026-04-01,comment,14.08,Android
HT_010005,2026-03-10,start_lesson,41.57,iOS
HT_010005,2026-04-10,comment,15.11,Android
HT_010005,2025-10-15,like,15.26,Web
HT_010005,2025-09-20,send_message,25.99,iOS
HT_010005,2025-12-30,send_message,16.0,Android
HT_010005,2026-01-29,video_call,12.49,iOS
HT_010005,2026-03-10,send_message,6.11,Android
HT_010005,2026-02-11,send_message,8.08,Android
HT_010005,2025-10-29,send_message,2.74,iOS
HT_010005,2025-10-31,voice_call,0.5,Android
HT_010005,2026-02-27,post_moment,1.0,iOS
HT_010005,2025-11-20,login,6.77,iOS
HT_010005,2025-10-05,login,0.5,Android
HT_010005,2025-11-12,login,2.69,Android
HT_010005,2025-12-13,send_message,6.42,iOS
HT_010005,2026-03-16,video_call,11.76,iOS
HT_010005,2026-01-13,login,5.22,iOS
HT_010005,2026-04-08,login,9.52,iOS
HT_010005,2026-03-12,send_message,1.18,Android
HT_010005,2026-04-12,start_lesson,4.42,iOS
HT_010005,2026-03-29,comment,0.86,Android
HT_010005,2025-09-25,post_moment,2.39,iOS
HT_010005,2025-10-29,post_moment,6.27,iOS
HT_010005,2025-11-20,send_message,9.94,iOS
HT_010005,2025-12-13,comment,8.53,Android
HT_010005,2025-09-12,login,2.91,iOS
HT_010005,2026-02-10,send_message,12.0,Android
HT_010005,2025-11-22,login,8.3,Web
HT_010005,2026-01-10,send_message,8.09,Android
HT_010005,2026-02-05,login,22.07,Android
HT_010005,2025-12-04,login,3.43,Android
HT_010005,2026-02-10,login,9.84,Android
HT_010005,2025-10-09,send_message,10.77,Android
HT_010005,2026-04-02,voice_call,26.35,Android
HT_010005,2026-01-29,video_call,9.55,Android
HT_010005,2026-03-12,like,2.72,Android
HT_010005,2025-10-21,login,1.65,iOS
HT_010005,2026-04-04,voice_call,2.65,Android
HT_010005,2025-10-30,login,20.42,Android
HT_010005,2026-01-17,login,17.1,Web
HT_010005,2025-10-16,send_message,22.76,iOS
HT_010005,2025-09-06,like,6.45,iOS
HT_010005,2026-01-09,login,11.27,Web
HT_010005,2025-10-27,like,1.17,iOS
HT_010005,2026-02-10,login,2.78,Android
HT_010006,2026-01-02,like,13.85,Android
HT_010006,2025-10-29,comment,2.81,iOS
HT_010006,2025-12-25,send_message,4.23,iOS
HT_010006,2025-11-07,send_message,4.65,Android
HT_010006,2025-11-14,like,7.84,Android
HT_010006,2025-09-22,voice_call,1.1,iOS
HT_010006,2025-12-02,send_message,14.12,iOS
HT_010006,2026-03-11,login,0.5,Android
HT_010006,2026-01-14,like,36.49,Android
HT_010006,2025-12-03,login,1.97,Android
HT_010006,2026-02-02,comment,2.59,Android
HT_010006,2025-11-26,comment,6.68,iOS
HT_010006,2026-03-14,comment,3.89,iOS
HT_010006,2026-03-05,like,1.06,iOS
HT_010006,2026-02-11,voice_call,1.95,iOS
HT_010006,2026-02-15,login,1.39,iOS
HT_010006,2025-12-09,login,3.87,Android
HT_010006,2026-01-25,post_moment,19.11,iOS
HT_010006,2026-04-01,send_message,2.8,Android
HT_010006,2025-12-07,post_moment,8.36,Android
HT_010006,2025-12-07,send_message,0.5,Android
HT_010006,2025-12-06,send_message,9.62,Web
HT_010006,2026-01-29,login,0.5,Web
HT_010006,2026-02-23,send_message,2.16,iOS
HT_010006,2026-02-08,like,19.76,Android
HT_010006,2025-11-03,send_message,7.97,iOS
HT_010006,2025-11-09,send_message,7.11,iOS
HT_010006,2025-11-24,send_message,3.15,iOS
HT_010006,2026-02-27,video_call,7.7,iOS
HT_010007,2026-01-06,login,0.82,Android
HT_010007,2026-04-09,post_moment,4.17,iOS
HT_010007,2025-09-19,like,4.6,iOS
HT_010007,2025-11-20,comment,2.12,Android
HT_010007,2025-05-09,start_lesson,2.87,iOS
HT_010007,2025-10-07,comment,20.16,Android
HT_010007,2025-07-01,send_message,0.93,Android
HT_010007,2026-02-27,send_message,15.78,Android
HT_010007,2026-02-26,send_message,0.85,iOS
HT_010007,2025-07-02,share_content,9.59,iOS
HT_010007,2025-08-06,login,4.31,Android
HT_010007,2025-06-17,send_message,15.83,iOS
HT_010007,2025-07-10,send_message,3.94,Android
HT_010007,2025-10-04,send_message,30.92,Android
HT_010007,2025-12-07,post_moment,17.01,Android
HT_010007,2025-12-11,login,11.43,iOS
HT_010007,2025-09-08,send_message,3.36,Web
HT_010007,2025-08-27,post_moment,10.89,iOS
HT_010008,2025-09-06,login,5.86,iOS
HT_010008,2025-11-15,login,18.83,iOS
HT_010008,2025-08-23,post_moment,8.03,Web
HT_010008,2025-08-31,send_message,0.5,Android
HT_010008,2025-10-04,send_message,1.97,iOS
HT_010008,2026-03-17,like,16.39,iOS
HT_010008,2025-11-28,comment,41.15,Android
HT_010008,2026-02-18,voice_call,0.5,Android
HT_010008,2026-02-18,like,0.69,iOS
HT_010008,2026-03-12,send_message,2.21,iOS
HT_010008,2025-09-22,voice_call,4.75,Web
HT_010008,2025-10-15,comment,3.05,Web
HT_010008,2026-01-18,login,1.55,Android
HT_010008,2025-11-11,start_lesson,11.39,iOS
HT_010008,2025-10-07,send_message,0.78,Android
HT_010008,2025-10-17,post_moment,0.52,iOS
HT_010008,2026-02-07,login,1.22,Web
HT_010008,2026-03-31,comment,45.97,Android
HT_010008,2025-10-09,send_message,7.65,Android
HT_010008,2025-09-25,login,1.98,iOS
HT_010008,2025-10-09,post_moment,8.24,iOS
HT_010008,2026-02-24,share_content,2.75,iOS
HT_010008,2026-03-05,send_message,3.1,Android
HT_010008,2025-08-26,login,2.84,Android
HT_010009,2025-12-05,send_message,12.0,Android
HT_010009,2025-07-15,like,11.87,iOS
HT_010009,2025-11-12,voice_call,12.34,Android
HT_010009,2026-02-04,send_message,28.03,iOS
HT_010009,2026-03-02,video_call,2.18,iOS
HT_010009,2026-02-24,login,7.04,Android
HT_010009,2025-12-05,post_moment,38.62,iOS
HT_010009,2026-02-02,comment,11.04,Android
HT_010009,2025-11-14,comment,7.34,Android
HT_010009,2025-07-29,video_call,3.19,iOS
HT_010009,2026-03-19,login,6.32,Web
HT_010009,2026-03-31,login,8.63,Web
HT_010009,2025-10-24,start_lesson,0.5,iOS
HT_010009,2026-03-18,login,9.87,Android
HT_010009,2026-01-06,like,10.71,Android
HT_010009,2026-03-23,like,0.85,Web
HT_010009,2025-08-19,login,5.3,iOS
HT_010009,2025-11-07,login,6.09,Web
HT_010009,2025-08-30,login,13.83,iOS
HT_010009,2025-09-18,like,13.87,iOS
HT_010009,2026-02-28,share_content,4.72,iOS
HT_010009,2026-02-25,login,4.04,Android
HT_010009,2025-10-08,like,0.96,iOS
HT_010009,2025-12-24,post_moment,3.22,iOS
HT_010009,2025-10-18,like,7.36,iOS
HT_010009,2026-01-30,like,13.23,iOS
HT_010009,2025-11-19,complete_lesson,1.1,iOS
HT_010010,2026-01-09,start_lesson,15.19,iOS
HT_010010,2026-03-23,like,10.1,iOS
HT_010010,2026-02-13,login,38.15,Web
HT_010010,2026-04-10,login,7.31,iOS
HT_010010,2026-03-09,send_message,0.5,iOS
HT_010010,2026-03-04,voice_call,4.18,Web
HT_010010,2026-03-04,comment,8.26,Android
HT_010010,2026-03-23,send_message,10.8,Android
HT_010010,2026-02-15,send_message,20.89,iOS
HT_010010,2026-04-06,login,18.35,iOS
HT_010010,2026-03-29,login,2.36,iOS
HT_010010,2026-03-21,comment,2.28,iOS
HT_010010,2026-02-11,like,4.77,Android
