user_id,register_date,country,native_language,target_languages,user_type,age_group,gender,learning_goal,cohort
HT_010000,2025-09-07,Mexico,Portuguese,German|Russian,free,35-44,M,Exam,2025-09
HT_010001,2026-02-11,USA,German,Chinese|Arabic,free,25-34,F,Business,2026-02
HT_010002,2025-08-21,USA,Spanish,Chinese,free,18-24,M,Immigration,2025-08
HT_010003,2025-11-27,UK,Dutch,Chinese,free,18-24,F,Exam,2025-11
HT_010004,2025-04-23,South Korea,German,Arabic|Portuguese|Italian,premium,25-34,Other,Hobby,2025-04
HT_010005,2025-09-03,Canada,Japanese,Arabic,premium,25-34,F,Hobby,2025-09
HT_010006,2025-09-19,USA,Russian,French,free,25-34,M,Business,2025-09
HT_010007,2025-04-24,Japan,Dutch,Arabic|Spanish,premium,35-44,F,Exam,2025-04
HT_010008,2025-08-11,USA,Dutch,Spanish|English|French,premium,35-44,M,Travel,2025-08
HT_010009,2025-07-13,Japan,Italian,English|Dutch|Chinese,free,18-24,F,Hobby,2025-07
HT_010010,2026-01-06,Canada,English,French|Portuguese|Japanese,free,35-44,F,Hobby,2026-01
HT_010011,2026-02-01,Brazil,English,Japanese|Spanish,free,18-24,F,Travel,2026-02
HT_010012,2026-04-10,Japan,Korean,Chinese|English,free,18-24,F,Hobby,2026-04
HT_010013,2025-09-13,Canada,German,Japanese|Korean|Chinese,free,35-44,M,Travel,2025-09
HT_010014,2025-06-02,China,Spanish,Italian,free,18-24,Other,Exam,2025-06
HT_010015,2025-09-15,Canada,Italian,Arabic|Dutch,free,25-34,F,Travel,2025-09
HT_010016,2025-10-25,Australia,English,Spanish|Dutch|Russian,free,25-34,F,Hobby,2025-10
HT_010017,2025-07-11,Spain,Portuguese,Chinese|English|Russian,free,18-24,F,Business,2025-07
HT_010018,2025-08-21,Brazil,Portuguese,Korean|Japanese,free,18-24,M,Travel,2025-08
HT_010019,2025-12-04,Australia,Russian,German,free,35-44,F,Immigration,2025-12
HT_010020,2025-08-05,UK,Portuguese,English,free,25-34,M,Hobby,2025-08
HT_010021,2026-01-17,Australia,Korean,Portuguese|Japanese,premium,25-34,Other,Immigration,2026-01
HT_010022,2025-07-01,Spain,Dutch,German|French|Japanese,free,25-34,F,Hobby,2025-07
HT_010023,2025-05-19,Japan,German,Japanese|Italian|French,premium,25-34,F,Hobby,2025-05
HT_010024,2026-03-12,Japan,Portuguese,Japanese|Spanish|German,free,18-24,Other,Exam,2026-03
HT_010025,2025-07-26,Spain,Korean,Italian,free,25-34,M,Exam,2025-07
HT_010026,2025-12-05,Australia,English,Arabic|Spanish,free,35-44,F,Exam,2025-12
HT_010027,2025-11-10,China,Chinese,Italian|Korean|Dutch,free,18-24,M,Exam,2025-11
HT_010028,2025-07-17,USA,Dutch,German|Japanese|French,premium,25-34,F,Travel,2025-07
HT_010029,2025-08-16,France,Chinese,Arabic|Portuguese|German,free,18-24,M,Travel,2025-08
HT_010030,2025-07-12,Australia,English,Russian|Korean|Chinese,free,25-34,M,Travel,2025-07
HT_010031,2025-09-06,Germany,English,French|German|Portuguese,free,25-34,F,Travel,2025-09
HT_010032,2025-07-16,Brazil,Arabic,Italian,free,25-34,Other,Travel,2025-07
HT_010033,2025-07-25,USA,Korean,Portuguese|Japanese,premium,18-24,F,Immigration,2025-07
HT_010034,2026-01-31,Japan,English,Russian,free,45+,Other,Business,2026-01
HT_010035,2025-11-15,USA,Portuguese,Russian,free,25-34,F,Travel,2025-11
HT_010036,2025-07-02,Mexico,Russian,Arabic|Korean|German,premium,45+,M,Travel,2025-07
HT_010037,2025-12-22,Mexico,Russian,French|English,premium,25-34,M,Travel,2025-12
HT_010038,2025-12-14,Mexico,Korean,Italian|French|Japanese,free,35-44,F,Business,2025-12
HT_010039,2025-07-05,Japan,Arabic,German,free,18-24,M,Travel,2025-07
HT_010040,2025-12-04,UK,Korean,Japanese,premium,25-34,M,Immigration,2025-12
HT_010041,2025-08-01,Spain,Chinese,Korean|Russian|German,free,18-24,Other,Hobby,2025-08
HT_010042,2026-01-10,France,Chinese,Italian|English|Dutch,free,45+,M,Business,2026-01
HT_010043,2026-02-16,Brazil,Russian,French|Portuguese|Chinese,free,45+,Other,Immigration,2026-02
HT_010044,2025-08-05,Mexico,Japanese,Russian|German,free,35-44,F,Immigration,2025-08
HT_010045,2026-03-21,Germany,English,German|Japanese,free,35-44,F,Immigration,2026-03
HT_010046,2025-11-13,Brazil,Japanese,Arabic|Chinese|Dutch,premium,35-44,Other,Exam,2025-11
HT_010047,2025-10-28,South Korea,Dutch,Japanese,free,25-34,Other,Travel,2025-10
HT_010048,2025-08-05,China,German,Korean|Japanese,free,45+,F,Business,2025-08
HT_010049,2025-11-12,UK,Dutch,Japanese|English|Arabic,free,25-34,F,Business,2025-11
HT_010050,2026-02-15,Brazil,Italian,Spanish,free,45+,F,Exam,2026-02
HT_010051,2026-03-04,Spain,Portuguese,German|French|Arabic,free,25-34,M,Exam,2026-03
HT_010052,2026-01-27,Mexico,Japanese,Korean,premium,35-44,F,Hobby,2026-01
HT_010053,2026-03-14,Mexico,Italian,Russian,free,45+,M,Hobby,2026-03
HT_010054,2026-04-06,USA,Japanese,Chinese,free,25-34,F,Hobby,2026-04
HT_010055,2025-08-03,UK,English,Dutch,free,25-34,Other,Exam,2025-08
HT_010056,2025-06-24,Spain,Japanese,Arabic|Portuguese,free,18-24,Other,Exam,2025-06
HT_010057,2025-11-25,China,Spanish,Russian|Korean,free,35-44,F,Immigration,2025-11
HT_010058,2025-11-25,Brazil,Spanish,Arabic|German|Japanese,free,25-34,M,Immigration,2025-11
HT_010059,2026-01-17,Germany,Arabic,German,free,18-24,F,Hobby,2026-01
HT_010060,2025-11-30,USA,Dutch,German|Korean|Italian,premium,18-24,F,Exam,2025-11
HT_010061,2025-04-23,Mexico,English,French|Portuguese,free,45+,Other,Hobby,2025-04
HT_010062,2025-05-23,USA,Portuguese,French|Dutch,free,18-24,F,Hobby,2025-05
HT_010063,2025-05-03,USA,Italian,Chinese,free,25-34,F,Business,2025-05
HT_010064,2025-09-30,South Korea,French,Chinese,free,25-34,Other,Business,2025-09
HT_010065,2025-08-31,China,Arabic,English|German,free,35-44,M,Exam,2025-08
HT_010066,2025-07-31,France,Russian,German|Dutch,premium,25-34,M,Exam,2025-07
HT_010067,2025-04-29,France,Dutch,German|Portuguese|Chinese,premium,25-34,F,Exam,2025-04
HT_010068,2025-05-07,Spain,Italian,English|German|French,premium,35-44,M,Exam,2025-05
HT_010069,2025-06-16,Brazil,Chinese,Dutch,free,25-34,Other,Travel,2025-06
HT_010070,2025-11-12,Germany,Portuguese,French|Chinese,free,25-34,M,Travel,2025-11
